Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned,Year
Iurii Aydın,M,SBD,Raw,16.5,16-17,14-18,Open,88.25,93,190,202.5,210,NA,210,112.5,120,-125,NA,120,250,267.5,-277.5,NA,267.5,597.5,18,390.24,385.35,369.64,80.21,Yes,Turkey,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Ahmet Yiğit Yılmaz,M,SBD,Raw,18,18-19,14-18,Open,65.55,66,135,150,-167.5,NA,150,140,145,150,NA,150,180,187.5,192.5,NA,192.5,492.5,11,387.86,388.9,378.02,77.05,Yes,Turkey,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Arif Mohammad Sudais,M,SBD,Raw,18.5,18-19,19-23,Open,65.3,66,127.5,137.5,-145,NA,137.5,105,107.5,-115,NA,107.5,160,175,185,NA,185,430,12,339.6,340.62,331.16,67.41,Yes,Qatar,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Serhat Erken,M,SBD,Raw,19,18-19,19-23,Open,72.95,74,222.5,235,240,NA,240,132.5,142.5,147.5,NA,147.5,-285,-297.5,307.5,NA,307.5,695,3,507.67,505.07,488.6,102.79,Yes,Turkey,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Ülfet Erdem Yıldırıcı,M,SBD,Raw,19,18-19,19-23,Open,128.65,120+,195,210,217.5,NA,217.5,140,-147.5,-147.5,NA,140,195,210,220,NA,220,577.5,4,324.39,327.25,312.8,65.16,Yes,Turkey,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Sean Beatty,M,SBD,Raw,20,20-23,19-23,Open,81.6,83,225,237.5,-242.5,NA,237.5,127.5,135,140,NA,140,240,250,-262.5,NA,250,627.5,17,427.73,423.16,407.37,87.61,Yes,Ireland,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Angel Radev,M,SBD,Raw,20.5,20-23,19-23,Open,81.4,83,182.5,195,-200,NA,195,125,135,140,NA,140,215,232.5,-237.5,NA,232.5,567.5,21,387.38,383.28,369.01,79.34,Yes,Bulgaria,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Charalampos Chatzigeorgiou,M,SBD,Raw,21,20-23,19-23,Open,92.1,93,230,-242.5,-245,NA,230,127.5,135,140,NA,140,260,277.5,-290,NA,277.5,647.5,15,413.92,408.65,391.27,85.11,Yes,Greece,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Konstantinos Gerogiannis,M,SBD,Raw,21,20-23,19-23,Open,102.5,105,230,242.5,-247.5,NA,242.5,135,-140,-140,NA,135,235,247.5,-255,NA,247.5,625,12,380.68,376.75,359.75,78.04,Yes,Greece,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Stavros Vavougyios,M,SBD,Raw,21,20-23,19-23,Open,81.9,83,205,215,222.5,NA,222.5,127.5,132.5,-137.5,NA,132.5,230,245,255,NA,255,610,18,414.93,410.44,395.06,85.01,Yes,Greece,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Koki Kawakami,M,SBD,Raw,21.5,20-23,19-23,Open,72.6,74,215,-227.5,227.5,NA,227.5,155,162.5,171.5,NA,171.5,220,-230,-247.5,NA,220,619,7,453.6,451.41,436.78,91.78,Yes,Japan,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Ndibe William,M,SBD,Raw,21.5,20-23,19-23,Open,117.9,120,277.5,292.5,302.5,NA,302.5,162.5,-172.5,172.5,NA,172.5,305,324,-345.5,NA,324,799,2,461.61,461.31,441.92,93.6,Yes,UK,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Nikos Christoforidis,M,SBD,Raw,21.5,20-23,19-23,Open,80.8,83,175,190,-200,NA,190,132.5,140,142.5,NA,142.5,222.5,242.5,252.5,NA,252.5,585,19,401.04,396.9,382.26,82.09,Yes,Greece,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Ufuk Karaçalı,M,SBD,Raw,22,20-23,19-23,Open,91.95,93,180,190,200,NA,200,117.5,125,130,NA,130,200,217.5,230,NA,230,560,20,358.27,353.71,338.69,73.67,Yes,Turkey,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Konstantinos Lydakis,M,SBD,Raw,21.5,20-23,19-23,Open,73.45,74,207.5,215,220,NA,220,135,-142.5,142.5,NA,142.5,222.5,235,247.5,NA,247.5,610,8,443.58,441.12,426.61,89.9,Yes,Greece,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Andreas Vasilakis,M,SBD,Raw,22,20-23,19-23,Open,73.4,74,207.5,215,217.5,NA,217.5,137.5,145,-147.5,NA,145,220,235,-245,NA,235,597.5,11,434.69,432.29,418.08,88.09,Yes,Greece,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Alican Atalay,M,SBD,Raw,23,20-23,19-23,Open,103.25,105,205,220,230,NA,230,135,142.5,-145,NA,142.5,220,247.5,260,NA,260,632.5,11,384.08,380.24,363.07,78.71,Yes,Turkey,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Nicolas Koh Jun Hong,M,SBD,Raw,22.5,20-23,19-23,Open,65.9,66,192.5,202.5,-207.5,NA,202.5,95,100,-102.5,NA,100,195,-200,-205,NA,195,497.5,10,390.24,391.12,380.08,77.61,Yes,Singapore,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Javier Loy Hung Yu,M,SBD,Raw,22.5,20-23,19-23,Open,90.5,93,225,237.5,-245,NA,237.5,142.5,-150,150,NA,150,240,257.5,-262.5,NA,257.5,645,16,415.9,410.61,393.44,85.51,Yes,Singapore,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Jovier Chong,M,SBD,Raw,22.5,20-23,19-23,Open,73.95,74,180,190,197.5,NA,197.5,120,127.5,-132.5,NA,127.5,195,207.5,215,NA,215,540,14,390.94,388.62,375.72,79.31,Yes,Singapore,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
Masaya Komori,M,SBD,Raw,22.5,20-23,19-23,Open,102.85,105,205,-225,230,NA,230,130,-140,-140,NA,130,200,225,-240,NA,225,585,14,355.81,352.19,336.29,72.93,Yes,Japan,NA,IPF,IPF,2025-07-16,Turkey,NA,Istanbul,World University Powerlifting Cup,Yes,2025
